date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-06-10,81.31933610413998,70.06690701274867,67.90487007474701,63.21590026206353,65.17145297304145,65.77233977064452,67.30657438478048,67.79373256689814,61.235775622152715,48.918096695420786,42.3889351685019,37.538420452000665,15.661775751602732,0.12973552963829604,-5.333176897417374,1.6600704776032842,-2.9453308618419385,3.359463197856826,15.198165484950977,30.109780415995886,48.408682661613895,53.2427785081245,58.32685970365965,42.062873192197955
2023-06-11,62.69662467520264,56.418921686810855,54.591634687668645,51.775362843097476,50.42072611503718,47.70536056246219,41.05714297303473,29.537427875040834,17.465396322561617,-1.4607368317990677,-23.72861662671582,-16.963578848354302,-38.658380871093186,-68.76979753834281,-77.9920355915469,-51.20086793413927,-33.866100535485515,4.966248733271243,38.07746816992207,66.31956087046353,85.98036824584452,88.64442559464781,83.49200718396304,71.1147206984604
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,
