date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-06-10,79.29217978827725,68.97383555558991,64.48791395732457,61.37552858687573,62.12064679032608,62.89646549046198,66.73730577855719,62.788907998137134,50.53330659883429,40.96790538307542,28.962406932699494,16.75354598656645,7.232040130112637,-7.933547147464907,-14.259192994754613,-3.8695164089992318,-9.324190670275755,4.997877871591015,14.24100216053273,23.45529304215117,59.12991974593757,57.520053784819595,52.349439294149306,42.43863309599395
2023-06-11,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,
