date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2023-06-10,80.22348969409877,73.13481729791677,68.96004696603309,65.85272840685603,64.63527204837746,70.28910250370164,78.60554126114076,82.22102133905031,80.97259381835136,70.97897386606213,56.38138800118544,50.63162769650028,44.77273922984006,32.978109194015715,29.30433621178602,36.442190455763146,45.5471321366131,57.60524798089895,71.42967952980386,79.82311964855252,83.68509397417772,82.14518355948633,77.81549480431065,66.90843051297236
2023-06-11,59.832516483919335,55.13362926257565,53.16639152411714,51.84747803819825,52.72800950609465,51.73517048524953,55.32078586160033,52.81328057538841,49.12704329622302,35.730551814007974,26.302030080334184,15.821467783994386,4.639160590649119,-15.229053051916814,-12.289394230423987,-5.330546152860698,17.86886175185316,44.82694082848849,67.54788283546162,85.00286444289758,89.55645444001905,84.93334561205809,83.59066317368122,71.88931908651982
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,
